candidate_index,local_index,fresh_negative,fresh_positive,fresh_p_positive,previous_negative,previous_positive,previous_p_positive,shots,repeats,trials,logical_failures,target_logical_errors,stopped_early,logical_failure_rate,converged,convergence_rate,mean_iterations,source_csv,source_shard
449,44,-0.02,1.0,0.97,-0.1,0.25,0.75,50000,1,290.0,10.0,10,True,0.0344827586206896,280,0.9655172413793104,272.05172413793105,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_9/grid_results.csv,9
206,20,-0.1,1.0,0.97,-0.1,0.25,0.75,50000,1,290.0,10.0,10,True,0.0344827586206896,280,0.9655172413793104,280.4103448275862,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_6/grid_results.csv,6
610,61,0.0,0.85,0.97,-0.1,0.25,0.5,50000,1,290.0,10.0,10,True,0.0344827586206896,279,0.9620689655172414,299.3172413793104,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_0/grid_results.csv,0
233,23,-0.1,1.0,0.995,-0.1,0.25,0.75,50000,1,281.0,10.0,10,True,0.0355871886120996,271,0.9644128113879004,219.73665480427047,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_3/grid_results.csv,3
719,71,0.0,1.0,0.995,-0.1,0.25,0.75,50000,1,281.0,10.0,10,True,0.0355871886120996,271,0.9644128113879004,224.067615658363,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_9/grid_results.csv,9
476,47,-0.02,1.0,0.995,-0.1,0.25,0.75,50000,1,281.0,10.0,10,True,0.0355871886120996,271,0.9644128113879004,225.4697508896797,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_6/grid_results.csv,6
359,35,-0.02,0.85,0.97,-0.25,0.25,0.75,50000,1,281.0,10.0,10,True,0.0355871886120996,271,0.9644128113879004,260.8683274021352,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_9/grid_results.csv,9
458,45,-0.02,1.0,0.97,0.0,0.25,0.75,50000,1,281.0,10.0,10,True,0.0355871886120996,271,0.9644128113879004,267.7259786476868,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_8/grid_results.csv,8
394,39,-0.02,0.85,0.995,-0.1,0.25,0.5,50000,1,278.0,10.0,10,True,0.0359712230215827,268,0.9640287769784172,232.9748201438849,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_4/grid_results.csv,4
710,71,0.0,1.0,0.995,-0.25,0.25,0.75,50000,1,278.0,10.0,10,True,0.0359712230215827,268,0.9640287769784172,244.74100719424465,/hpc/group/pfisterlab/mg551/storage/relay/relay/examples/notebook_data/bicycle_bivariate_144_12_12_message_mix_grid_Z_p0035_r60/seed_0/grid_results.csv,0
