decoder,point_id,width_idx,center_idx,center,width,interval_low,interval_high,relay_seed,circuit,memory,p,basis_filter_applied,shots,logical_error_count,seconds,logical_error_rate,logical_success_rate,stderr,relative_error,hit_target,shot_cap_reached,raw_interval_low,raw_interval_high,effective_center,effective_width,interval_clipped
relay-bp-paper-damping-c0p700-w0p400,29,2,7,0.7000000000000001,0.4,0.5,0.9000000000000001,29000087,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1700,11,468.40700000000004,0.006470588235294118,0.9935294117647059,0.0019446335997217318,0.30053428359335854,True,False,0.5,0.9000000000000001,0.7000000000000001,0.40000000000000013,False
relay-bp-paper-damping-c0p800-w0p400,30,2,8,0.8,0.4,0.6000000000000001,1.0,30000090,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1777,16,399.01,0.009003939223410242,0.9909960607765897,0.002240828026206825,0.2488719626605955,True,False,0.6000000000000001,1.0,0.8,0.3999999999999999,False
relay-bp-paper-damping-c0p900-w0p400,31,2,9,0.9,0.4,0.7,1.0,31000093,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1516,10,384.7850000000001,0.006596306068601583,0.9934036939313984,0.0020790440159722946,0.31518307282139985,True,False,0.7,1.1,0.85,0.30000000000000004,True
relay-bp-paper-damping-c1p000-w0p400,32,2,10,1.0,0.4,0.8,1.0,32000096,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1176,15,395.502,0.012755102040816327,0.9872448979591837,0.0032722822514701113,0.25654692851525673,True,False,0.8,1.2,0.9,0.19999999999999996,True
relay-bp-paper-damping-c0p000-w0p600,33,3,0,0.0,0.6000000000000001,0.0,0.30000000000000004,33000099,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,831,10,415.093,0.012033694344163659,0.9879663056558363,0.00378242253989036,0.3143193130648889,True,False,-0.30000000000000004,0.30000000000000004,0.15000000000000002,0.30000000000000004,True
relay-bp-paper-damping-c0p100-w0p600,34,3,1,0.1,0.6000000000000001,0.0,0.4,34000102,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,919,8,367.4530000000001,0.008705114254624592,0.9912948857453754,0.0030642974155888434,0.3520111656157684,True,False,-0.20000000000000004,0.4,0.2,0.4,True
relay-bp-paper-damping-c0p200-w0p600,35,3,2,0.2,0.6000000000000001,0.0,0.5,35000105,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1208,9,392.75900000000007,0.0074503311258278145,0.9925496688741722,0.002474175173940564,0.33208929001335574,True,False,-0.10000000000000003,0.5,0.25,0.5,True
relay-bp-paper-damping-c0p300-w0p600,36,3,3,0.30000000000000004,0.6000000000000001,0.0,0.6000000000000001,36000108,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1712,10,397.918,0.005841121495327103,0.9941588785046729,0.0018417222605301273,0.3153028510027578,True,False,0.0,0.6000000000000001,0.30000000000000004,0.6000000000000001,False
relay-bp-paper-damping-c0p400-w0p600,37,3,4,0.4,0.6000000000000001,0.09999999999999998,0.7000000000000001,37000111,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2052,13,360.7410000000001,0.006335282651072124,0.9936647173489279,0.001751516586623692,0.27647015659629354,True,False,0.09999999999999998,0.7000000000000001,0.4,0.6000000000000001,False
relay-bp-paper-damping-c0p500-w0p600,38,3,5,0.5,0.6000000000000001,0.19999999999999996,0.8,38000114,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,1404,14,342.2429999999999,0.009971509971509971,0.99002849002849,0.002651677821858979,0.2659254044207148,True,False,0.19999999999999996,0.8,0.5,0.6000000000000001,False
relay-bp-paper-damping-c0p600-w0p600,39,3,6,0.6000000000000001,0.6000000000000001,0.30000000000000004,0.9000000000000001,39000117,bicycle_bivariate_144_12_12_memory_Z,Z,0.003,Z,2077,10,347.317,0.004814636494944632,0.9951853635050554,0.0015188521263084847,0.31546558663427227,True,False,0.30000000000000004,0.9000000000000001,0.6000000000000001,0.6000000000000001,False
